Rk,Season,Team,W,Completions,PassAttempts,PassYD,PassTD,Int,RushYD,RushTD,PointsAgainst,XPA,XPM,FGA,FGM,SafetiesByTeam
170,1972,STL,4,171,363,2038,11,23,1229,9,303,21,19,22,14,0
171,1971,STL,4,170,385,2471,14,26,1530,8,279,24,24,32,21,0
172,1970,STL,8,178,390,2473,16,19,1998,18,228,38,37,32,20,0
173,1969,STL,4,216,430,2739,19,25,1446,17,389,40,38,24,12,0
174,1968,STL,9,169,385,2187,16,20,1996,22,289,40,40,24,15,0
175,1967,STL,6,204,431,2941,20,35,1839,15,356,36,36,39,27,0
176,1966,STL,8,180,386,1940,13,19,1601,10,265,28,27,40,23,0
177,2023,SFO,12,336,491,4384,33,12,2389,27,298,61,60,25,21,1
178,2022,SFO,13,338,512,3856,30,9,2360,20,277,53,51,32,27,0
179,2021,SFO,10,343,514,4221,26,14,2166,22,365,46,42,32,27,0
180,2020,SFO,6,371,570,4033,25,17,1889,19,390,40,38,26,22,0
181,2019,SFO,13,331,478,3792,28,13,2305,23,310,50,49,39,30,0
182,2018,SFO,4,331,532,3867,26,20,1902,7,435,29,27,34,33,1
183,2017,SFO,6,362,607,3925,15,15,1662,15,383,30,28,41,39,0
184,2016,SFO,2,287,491,2911,21,10,2019,15,480,34,33,21,18,1
185,2015,SFO,5,322,526,3316,16,12,1544,7,387,21,20,27,24,0
186,2014,SFO,8,292,487,3063,20,10,2176,10,340,33,33,31,25,0
187,2013,SFO,12,244,417,2979,21,8,2201,18,272,44,44,36,32,1
188,2012,SFO,11,289,436,3298,23,8,2491,17,273,44,44,42,29,1
189,2011,SFO,13,277,451,2930,18,5,2044,14,229,34,34,52,44,1
190,2010,SFO,6,282,500,3356,19,15,1657,10,346,33,33,27,22,0
191,2009,SFO,8,312,528,3052,23,14,1600,12,281,39,39,24,19,0
192,2008,SFO,7,309,509,3379,21,19,1599,10,381,34,34,33,29,0
193,2007,SFO,5,274,513,2320,15,17,1477,8,364,22,22,19,17,1
194,2006,SFO,7,257,444,2688,16,16,2172,12,412,29,29,35,29,1
195,2005,SFO,4,204,389,1898,8,21,1689,9,428,21,21,29,26,0
196,2004,SFO,2,325,561,3136,16,21,1449,10,452,23,23,22,18,1
